organization_name,organization_abbr,organization_type,person_official_id,person_name,membership_type,start_date,end_date
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,4746,Sergio BERLATO,Substitute,2020-02-12,
Committee on International Trade,INTA,Committee,4746,Sergio BERLATO,Substitute,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,4391,Silvio BERLUSCONI,Member,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,4391,Silvio BERLUSCONI,Member,2019-07-02,2022-10-12
Committee on Foreign Affairs,AFET,Committee,4391,Silvio BERLUSCONI,Member,2022-01-20,2022-10-12
Delegation for Relations with the United States,D-US,Delegation,4391,Silvio BERLUSCONI,Substitute,2019-07-02,2022-10-12
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197648,Alexander BERNHUBER,Member,2019-07-02,2022-01-19
Committee on Petitions,PETI,Committee,197648,Alexander BERNHUBER,Member,2019-07-02,2022-01-19
"Delegation to the EU-Armenia Parliamentary Partnership Committee, the EU-Azerbaijan Parliamentary Cooperation Committee and the EU-Georgia Parliamentary Association Committee",DSCA,Delegation,197648,Alexander BERNHUBER,Member,2019-07-02,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197648,Alexander BERNHUBER,Member,2019-07-02,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197648,Alexander BERNHUBER,Member,2022-01-20,
Committee on Petitions,PETI,Committee,197648,Alexander BERNHUBER,Member,2022-01-20,
Committee on Culture and Education,CULT,Committee,197648,Alexander BERNHUBER,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Moldova Parliamentary Association Committee,D-MD,Delegation,197648,Alexander BERNHUBER,Substitute,2019-07-02,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197648,Alexander BERNHUBER,Substitute,2019-07-08,2020-01-13
Committee on Culture and Education,CULT,Committee,197648,Alexander BERNHUBER,Substitute,2022-01-20,
Delegation for Relations with Belarus,D-BY,Delegation,197498,Robert BIEDROŃ,Chair,2019-09-26,2022-02-16
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197498,Robert BIEDROŃ,Chair,2022-01-25,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197498,Robert BIEDROŃ,Vice-Chair,2019-07-10,2022-01-19
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197498,Robert BIEDROŃ,Vice-Chair,2022-01-20,2022-01-24
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197498,Robert BIEDROŃ,Member,2019-07-02,2019-07-09
Delegation for Relations with Belarus,D-BY,Delegation,197498,Robert BIEDROŃ,Member,2019-07-02,2019-09-25
Committee on Budgets,BUDG,Committee,197498,Robert BIEDROŃ,Member,2019-07-02,2022-01-19
Conference of Delegation Chairs,CDC,Political Body,197498,Robert BIEDROŃ,Member,2019-09-26,2022-02-16
Committee on Budgets,BUDG,Committee,197498,Robert BIEDROŃ,Member,2022-01-20,2023-01-15
Conference of Committee Chairs,CCC,Political Body,197498,Robert BIEDROŃ,Member,2022-01-25,
Committee on Foreign Affairs,AFET,Committee,197498,Robert BIEDROŃ,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Canada,D-CA,Delegation,197498,Robert BIEDROŃ,Substitute,2020-10-02,
Committee on Foreign Affairs,AFET,Committee,197498,Robert BIEDROŃ,Substitute,2022-01-20,
Delegation for Relations with Belarus,D-BY,Delegation,197498,Robert BIEDROŃ,Substitute,2022-03-01,
Committee on Employment and Social Affairs,EMPL,Committee,197498,Robert BIEDROŃ,Substitute,2023-01-06,
Committee on Budgets,BUDG,Committee,197498,Robert BIEDROŃ,Substitute,2023-01-16,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,23788,Adam BIELAN,Member,2019-07-02,2022-01-19
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,23788,Adam BIELAN,Member,2019-07-02,
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,23788,Adam BIELAN,Member,2020-09-14,2022-03-23
Committee on the Internal Market and Consumer Protection,IMCO,Committee,23788,Adam BIELAN,Member,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,23788,Adam BIELAN,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Arab Peninsula,DARP,Delegation,23788,Adam BIELAN,Substitute,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,23788,Adam BIELAN,Substitute,2022-01-20,
Delegation to the EU-Albania Stabilisation and Association Parliamentary Committee,D-AL,Delegation,238674,Theresa BIELOWSKI,Vice-Chair,2022-11-14,
Delegation to the EU-Albania Stabilisation and Association Parliamentary Committee,D-AL,Delegation,238674,Theresa BIELOWSKI,Member,2022-10-17,2022-11-13
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,238674,Theresa BIELOWSKI,Member,2022-10-17,
Committee on Legal Affairs,JURI,Committee,238674,Theresa BIELOWSKI,Substitute,2022-10-12,2023-01-22
Subcommittee on Human Rights,DROI,Subcommittee,238674,Theresa BIELOWSKI,Substitute,2022-10-12,
"Delegation for Relations with Bosnia and Herzegovina, and Kosovo",DSEE,Delegation,238674,Theresa BIELOWSKI,Substitute,2022-10-12,
Delegation for Relations with the Mashreq countries,DMAS,Delegation,238674,Theresa BIELOWSKI,Substitute,2022-10-12,
Committee on Agriculture and Rural Development,AGRI,Committee,238674,Theresa BIELOWSKI,Substitute,2023-01-23,
Delegation to the Cariforum-EU Parliamentary Committee,DCAR,Delegation,197551,Stéphane BIJOUX,Chair,2019-10-17,
Committee on Development,DEVE,Committee,197551,Stéphane BIJOUX,Vice-Chair,2022-08-30,
Delegation to the Cariforum-EU Parliamentary Committee,DCAR,Delegation,197551,Stéphane BIJOUX,Member,2019-07-02,2019-10-16
Committee on Regional Development,REGI,Committee,197551,Stéphane BIJOUX,Member,2019-07-02,2022-01-19
Conference of Delegation Chairs,CDC,Political Body,197551,Stéphane BIJOUX,Member,2019-10-17,
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197551,Stéphane BIJOUX,Member,2020-03-09,
Committee on Regional Development,REGI,Committee,197551,Stéphane BIJOUX,Member,2022-01-20,
Committee on Development,DEVE,Committee,197551,Stéphane BIJOUX,Member,2022-06-06,2022-08-29
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197551,Stéphane BIJOUX,Substitute,2019-07-02,2020-03-08
Committee on Development,DEVE,Committee,197551,Stéphane BIJOUX,Substitute,2019-07-02,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,197551,Stéphane BIJOUX,Substitute,2019-07-13,2022-01-19
Committee on Development,DEVE,Committee,197551,Stéphane BIJOUX,Substitute,2022-01-20,2022-06-02
Committee on Employment and Social Affairs,EMPL,Committee,197551,Stéphane BIJOUX,Substitute,2022-01-20,2022-06-05
Delegation for Relations with the Countries of the Andean Community,DAND,Delegation,96922,Izaskun BILBAO BARANDICA,Vice-Chair,2019-09-26,
Delegation for Relations with the Countries of the Andean Community,DAND,Delegation,96922,Izaskun BILBAO BARANDICA,Member,2019-07-02,2019-09-25
Committee on Transport and Tourism,TRAN,Committee,96922,Izaskun BILBAO BARANDICA,Member,2019-07-02,2022-01-19
Committee on Fisheries,PECH,Committee,96922,Izaskun BILBAO BARANDICA,Member,2019-07-02,2022-01-19
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,96922,Izaskun BILBAO BARANDICA,Member,2019-07-02,
Committee on Transport and Tourism,TRAN,Committee,96922,Izaskun BILBAO BARANDICA,Member,2022-01-20,
Committee on Fisheries,PECH,Committee,96922,Izaskun BILBAO BARANDICA,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,96922,Izaskun BILBAO BARANDICA,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,96922,Izaskun BILBAO BARANDICA,Substitute,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,96922,Izaskun BILBAO BARANDICA,Substitute,2022-01-20,
Delegation to the EU-Montenegro Stabilisation and Association Parliamentary Committee,D-ME,Delegation,197771,Vladimír BILČÍK,Chair,2019-09-26,
Delegation to the EU-Montenegro Stabilisation and Association Parliamentary Committee,D-ME,Delegation,197771,Vladimír BILČÍK,Member,2019-07-02,2019-09-25
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197771,Vladimír BILČÍK,Member,2019-07-02,2022-01-19
Delegation to the EU-North Macedonia Joint Parliamentary Committee,D-MK,Delegation,197771,Vladimír BILČÍK,Member,2019-07-02,
Conference of Delegation Chairs,CDC,Political Body,197771,Vladimír BILČÍK,Member,2019-09-26,
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,197771,Vladimír BILČÍK,Member,2020-09-14,2022-03-23
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197771,Vladimír BILČÍK,Member,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,197771,Vladimír BILČÍK,Member,2022-03-24,2023-07-18
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,197771,Vladimír BILČÍK,Member,2022-03-24,2023-08-12
Committee on Foreign Affairs,AFET,Committee,197771,Vladimír BILČÍK,Substitute,2019-07-02,2022-01-19
Committee on Constitutional Affairs,AFCO,Committee,197771,Vladimír BILČÍK,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Moldova Parliamentary Association Committee,D-MD,Delegation,197771,Vladimír BILČÍK,Substitute,2019-07-02,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197771,Vladimír BILČÍK,Substitute,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197771,Vladimír BILČÍK,Substitute,2022-01-20,
Committee on Constitutional Affairs,AFCO,Committee,197771,Vladimír BILČÍK,Substitute,2022-01-20,
Committee on Culture and Education,CULT,Committee,124771,Dominique BILDE,Member,2019-07-02,2019-07-15
Delegation to the EU-Montenegro Stabilisation and Association Parliamentary Committee,D-ME,Delegation,124771,Dominique BILDE,Member,2019-07-02,2019-09-15
Committee on Development,DEVE,Committee,124771,Dominique BILDE,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,124771,Dominique BILDE,Member,2019-07-02,
Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee,D-RS,Delegation,124771,Dominique BILDE,Member,2019-09-16,2019-09-17
Delegation to the EU-Montenegro Stabilisation and Association Parliamentary Committee,D-ME,Delegation,124771,Dominique BILDE,Member,2019-09-18,
Committee on Employment and Social Affairs,EMPL,Committee,124771,Dominique BILDE,Member,2020-02-10,2022-01-19
Committee on Development,DEVE,Committee,124771,Dominique BILDE,Member,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,124771,Dominique BILDE,Member,2022-01-20,
Delegation to the EU-Albania Stabilisation and Association Parliamentary Committee,D-AL,Delegation,124771,Dominique BILDE,Member,2022-02-17,
Delegation to the EU-Albania Stabilisation and Association Parliamentary Committee,D-AL,Delegation,124771,Dominique BILDE,Substitute,2019-07-02,2022-02-16
Committee on Culture and Education,CULT,Committee,124771,Dominique BILDE,Substitute,2019-07-16,2019-11-24
"Delegation for Relations with Bosnia and Herzegovina, and Kosovo",DSEE,Delegation,124771,Dominique BILDE,Substitute,2019-07-29,
Delegation to the EU-North Macedonia Joint Parliamentary Committee,D-MK,Delegation,124771,Dominique BILDE,Substitute,2020-02-12,
Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee,D-RS,Delegation,124771,Dominique BILDE,Substitute,2020-05-12,
Committee on Constitutional Affairs,AFCO,Committee,197435,Gabriele BISCHOFF,Vice-Chair,2019-07-10,2022-01-19
Committee on Constitutional Affairs,AFCO,Committee,197435,Gabriele BISCHOFF,Vice-Chair,2022-01-20,
Committee on Constitutional Affairs,AFCO,Committee,197435,Gabriele BISCHOFF,Member,2019-07-02,2019-07-09
Committee on Employment and Social Affairs,EMPL,Committee,197435,Gabriele BISCHOFF,Member,2019-07-02,2022-01-19
Delegation for Relations with Mercosur,DMER,Delegation,197435,Gabriele BISCHOFF,Member,2019-07-02,
Committee on Employment and Social Affairs,EMPL,Committee,197435,Gabriele BISCHOFF,Member,2022-01-20,
Committee on Economic and Monetary Affairs,ECON,Committee,197435,Gabriele BISCHOFF,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Australia and New Zealand,DANZ,Delegation,197435,Gabriele BISCHOFF,Substitute,2019-07-02,
Committee on Economic and Monetary Affairs,ECON,Committee,197435,Gabriele BISCHOFF,Substitute,2022-01-20,2022-02-27
Delegation for Relations with the Countries of the Andean Community,DAND,Delegation,197512,Benoît BITEAU,Vice-Chair,2019-09-26,2022-02-16
Committee on Agriculture and Rural Development,AGRI,Committee,197512,Benoît BITEAU,Vice-Chair,2022-01-24,
Delegation for Relations with the Countries of the Andean Community,DAND,Delegation,197512,Benoît BITEAU,Member,2019-07-02,2019-09-25
Committee on Agriculture and Rural Development,AGRI,Committee,197512,Benoît BITEAU,Member,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197512,Benoît BITEAU,Member,2019-07-02,
Committee on Agriculture and Rural Development,AGRI,Committee,197512,Benoît BITEAU,Member,2022-01-20,2022-01-23
Committee on Development,DEVE,Committee,197512,Benoît BITEAU,Substitute,2019-07-02,2022-01-19
Committee on Fisheries,PECH,Committee,197512,Benoît BITEAU,Substitute,2019-07-02,2022-01-19
Committee on Development,DEVE,Committee,197512,Benoît BITEAU,Substitute,2022-01-20,
Committee on Fisheries,PECH,Committee,197512,Benoît BITEAU,Substitute,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,97198,Mara BIZZOTTO,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,97198,Mara BIZZOTTO,Member,2019-07-02,2022-10-12
Committee on Agriculture and Rural Development,AGRI,Committee,97198,Mara BIZZOTTO,Member,2022-01-20,2022-10-12
Committee on Employment and Social Affairs,EMPL,Committee,97198,Mara BIZZOTTO,Substitute,2019-07-02,2022-01-19
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,97198,Mara BIZZOTTO,Substitute,2019-07-02,2022-01-19
Committee on Petitions,PETI,Committee,97198,Mara BIZZOTTO,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Australia and New Zealand,DANZ,Delegation,97198,Mara BIZZOTTO,Substitute,2019-07-02,2022-10-12
Committee on Employment and Social Affairs,EMPL,Committee,97198,Mara BIZZOTTO,Substitute,2022-01-20,2022-10-12
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,97198,Mara BIZZOTTO,Substitute,2022-01-20,2022-10-12
Committee on Petitions,PETI,Committee,97198,Mara BIZZOTTO,Substitute,2022-01-20,2022-10-12
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124992,Malin BJÖRK,Member,2019-07-02,2022-01-19
Delegation for Relations with the Federative Republic of Brazil,D-BR,Delegation,124992,Malin BJÖRK,Member,2019-07-02,
"Delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for Relations with Turkmenistan and Mongolia",DCAS,Delegation,124992,Malin BJÖRK,Member,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,124992,Malin BJÖRK,Member,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,124992,Malin BJÖRK,Member,2022-01-20,2022-09-11
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124992,Malin BJÖRK,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,124992,Malin BJÖRK,Member,2022-09-12,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,124992,Malin BJÖRK,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Mercosur,DMER,Delegation,124992,Malin BJÖRK,Substitute,2019-07-02,
Delegation for Relations with South Africa,D-ZA,Delegation,124992,Malin BJÖRK,Substitute,2019-07-02,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,124992,Malin BJÖRK,Substitute,2022-01-20,2022-09-11
Committee on Foreign Affairs,AFET,Committee,124992,Malin BJÖRK,Substitute,2022-09-12,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197637,Vasile BLAGA,Member,2019-07-02,2022-01-19
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,197637,Vasile BLAGA,Member,2019-07-02,
"Committee on Industry, Research and Energy",ITRE,Committee,197637,Vasile BLAGA,Member,2020-02-12,2022-01-19
"Committee on Industry, Research and Energy",ITRE,Committee,197637,Vasile BLAGA,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197637,Vasile BLAGA,Member,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,197637,Vasile BLAGA,Substitute,2019-07-02,2020-02-09
